# Wavelengths(nm)	0.0V	0.1V	0.2V	0.30000000000000004V	0.4V	0.5V	0.6000000000000001V	0.7000000000000001V	0.8V	0.9V	1.0V	1.1V	1.2000000000000002V	1.3V	1.4000000000000001V	1.5V	1.6V	1.7000000000000002V	1.8V	1.9000000000000001V	2.0V	2.1V	2.2V	2.3000000000000003V	2.4000000000000004V	2.5V	2.6V	2.7V	2.8000000000000003V	2.9000000000000004V	3.0V	3.1V	3.2V	3.3000000000000003V	3.4000000000000004V	3.5V	3.6V	3.7V	3.8000000000000003V	3.9000000000000004V	4.0V	4.1000000000000005V	4.2V	4.3V	4.4V	4.5V	4.6000000000000005V	4.7V	4.800000000000001V	4.9V	5.0V
4.853288990657118234e+02	0.000000000000000000e+00	9.362142857142850971e+01	1.006430357142857019e+02	3.978910714285711947e+01	4.447017857142850517e+01	4.915125000000000455e+01	5.851339285714288962e+01	9.362142857142850971e+01	1.006430357142857019e+02	7.255660714285716040e+01	9.596196428571431625e+01	1.006430357142857019e+02	3.276749999999992724e+01	8.659982142857143117e+01	7.021607142857146755e+01	6.319446428571427532e+01	6.319446428571427532e+01	5.383232142857139024e+01	9.596196428571431625e+01	5.851339285714288962e+01	1.076646428571427805e+02	7.021607142857146755e+01	7.255660714285716040e+01	6.319446428571427532e+01	5.851339285714288962e+01	1.170267857142856656e+02	1.076646428571427805e+02	1.989455357142857110e+02	3.276749999999999545e+02	4.236369642857142708e+02	4.985341071428570103e+02	5.476853571428571286e+02	7.325876785714285688e+02	8.472739285714285415e+02	8.028037500000000364e+02	9.291926785714285870e+02	9.666412499999999000e+02	1.095370714285714257e+03	1.144521964285714148e+03	1.275591964285714312e+03	1.404321428571428442e+03	1.369213392857142708e+03	1.093030178571428451e+03	8.496144642857141207e+02	1.034516785714285561e+03	1.128138214285714184e+03	1.273251428571428505e+03	1.441769999999999982e+03	1.434748392857142790e+03	1.336445892857142780e+03	1.364532321428571322e+03
4.856933508079104627e+02	0.000000000000000000e+00	1.146862499999999727e+02	1.497942857142857065e+02	7.489714285714285325e+01	6.787553571428566102e+01	7.723767857142854609e+01	8.894035714285712402e+01	8.425928571428562464e+01	8.894035714285712402e+01	1.240483928571428578e+02	6.787553571428566102e+01	7.021607142857078543e+00	6.319446428571427532e+01	7.957821428571423894e+01	1.568158928571427850e+02	1.263889285714285506e+02	0.000000000000000000e+00	2.574589285714284870e+01	5.149178571428569740e+01	7.255660714285716040e+01	6.553499999999996817e+01	9.128089285714281687e+01	6.787553571428566102e+01	7.489714285714285325e+01	7.255660714285716040e+01	2.574589285714284870e+01	1.474537500000000136e+02	2.176698214285713675e+02	3.089507142857141844e+02	4.447017857142856201e+02	5.313016071428570513e+02	5.476853571428570149e+02	7.068417857142857201e+02	7.957821428571427305e+02	8.121658928571426941e+02	8.449333928571428487e+02	9.245116071428570876e+02	1.158565178571428532e+03	1.179630000000000109e+03	1.158565178571428532e+03	1.301337857142857047e+03	1.495602321428571486e+03	1.132819285714285797e+03	7.676957142857141889e+02	1.050900535714285525e+03	1.224100178571428387e+03	1.280273035714285470e+03	1.434748392857142790e+03	1.504964464285714257e+03	1.413683571428571213e+03	1.378575535714285706e+03
4.860577659729106017e+02	0.000000000000000000e+00	2.808642857142854155e+01	1.404321428571427077e+01	9.362142857142771390e+00	1.170267857142857792e+01	-7.489714285714285325e+01	-1.638375000000007731e+01	2.340535714285692848e+00	3.042696428571423439e+01	-2.340535714285715585e+01	3.042696428571423439e+01	3.276749999999992724e+01	-3.042696428571434808e+01	-6.085392857142858247e+01	7.489714285714285325e+01	6.319446428571427532e+01	-5.617285714285719678e+01	-3.744857142857142662e+01	-1.170267857142857792e+01	3.510803571428562009e+01	1.872428571428565647e+01	-2.340535714285715585e+01	-5.617285714285719678e+01	-7.021607142857146755e+01	3.510803571428562009e+01	4.447017857142850517e+01	7.723767857142854609e+01	1.053241071428570876e+02	2.059671428571427896e+02	3.581019642857141889e+02	4.727882142857141616e+02	4.166153571428570785e+02	7.489714285714284188e+02	7.466308928571428396e+02	7.630146428571428032e+02	7.396092857142856474e+02	8.449333928571428487e+02	1.100051785714285415e+03	1.114094999999999800e+03	1.107073392857142608e+03	1.212397500000000036e+03	1.371553928571428514e+03	1.137500357142856956e+03	7.817389285714285734e+02	1.032176249999999982e+03	1.043878928571428332e+03	1.158565178571428532e+03	1.392618750000000091e+03	1.439429464285713948e+03	1.282613571428571504e+03	1.315381071428571431e+03
4.864221445468272123e+02	0.000000000000000000e+00	4.212964285714281232e+01	9.596196428571420256e+01	7.255660714285704671e+01	4.681071428571419801e+01	5.851339285714277594e+01	2.340535714285692848e+00	8.425928571428562464e+01	1.146862499999999727e+02	7.255660714285704671e+01	7.021607142857135386e+01	1.123457142857142799e+02	-4.681071428571499382e+00	4.915125000000000455e+01	6.553499999999996817e+01	7.489714285714285325e+01	9.830249999999989541e+01	2.808642857142854155e+01	8.191874999999993179e+01	5.851339285714277594e+01	9.830249999999989541e+01	1.310699999999999363e+02	7.255660714285704671e+01	3.744857142857142662e+01	7.021607142857078543e+00	7.723767857142854609e+01	3.510803571428562009e+01	1.872428571428571331e+02	3.183128571428570694e+02	4.423612499999999272e+02	4.564044642857141980e+02	5.617285714285713993e+02	7.981226785714285370e+02	7.583335714285714175e+02	8.051442857142857292e+02	8.285496428571428851e+02	1.100051785714285415e+03	1.167927321428571304e+03	1.102392321428571449e+03	1.207716428571428423e+03	1.439429464285713948e+03	1.460494285714285525e+03	1.123457142857142571e+03	8.332307142857142708e+02	1.064943749999999909e+03	1.219419107142857229e+03	1.207716428571428423e+03	1.483899642857142680e+03	1.448791607142857174e+03	1.380916071428571286e+03	1.303678392857142626e+03
4.867864865157750387e+02	0.000000000000000000e+00	-3.042696428571423439e+01	1.170267857142857792e+01	3.744857142857142662e+01	3.978910714285723316e+01	-1.638374999999996362e+01	9.362142857142885077e+00	3.276750000000004093e+01	-9.362142857142771390e+00	-4.447017857142850517e+01	2.340535714285715585e+01	-6.319446428571427532e+01	4.681071428571499382e+00	-1.404321428571427077e+01	-1.638374999999996362e+01	4.447017857142861885e+01	2.340535714285715585e+01	1.638375000000007731e+01	1.404321428571438446e+01	-2.340535714285692848e+00	2.340535714285715585e+01	-4.681071428571385695e+00	-3.276749999999992724e+01	2.340535714285715585e+01	2.340535714285806534e+00	-2.340535714285692848e+00	4.212964285714292600e+01	8.191875000000004547e+01	2.387346428571429442e+02	4.142748214285714994e+02	4.493828571428571195e+02	4.891719642857142389e+02	8.028037500000000364e+02	8.215280357142858065e+02	8.917441071428570467e+02	7.279066071428571831e+02	9.362142857142857792e+02	1.139840892857142762e+03	1.083668035714285679e+03	1.128138214285714184e+03	1.376234999999999900e+03	1.401980892857142862e+03	1.219419107142857229e+03	8.098253571428572286e+02	1.034516785714285788e+03	1.149203035714285761e+03	1.268570357142857119e+03	1.486240178571428487e+03	1.483899642857142908e+03	1.315381071428571431e+03	1.261548749999999927e+03
4.871507918658688254e+02	0.000000000000000000e+00	-1.404321428571427077e+01	4.681071428571385695e+00	9.596196428571431625e+01	-2.808642857142854155e+01	6.085392857142858247e+01	1.404321428571427077e+01	3.510803571428573377e+01	2.340535714285715585e+01	2.808642857142854155e+01	1.638374999999996362e+01	4.915125000000000455e+01	-2.340535714285692848e+00	4.681071428571385695e+00	2.106482142857146300e+01	3.042696428571434808e+01	4.212964285714281232e+01	4.915125000000000455e+01	4.212964285714281232e+01	-2.340535714285715585e+01	9.596196428571431625e+01	2.808642857142854155e+01	9.362142857142862340e+01	-2.106482142857146300e+01	-1.170267857142857792e+01	3.510803571428573377e+01	1.053241071428572013e+02	2.246914285714285597e+02	2.644805357142856792e+02	4.002316071428571149e+02	4.587449999999998909e+02	5.476853571428571286e+02	7.911010714285714585e+02	8.613171428571429260e+02	8.262091071428571922e+02	7.653551785714284961e+02	1.039197857142857174e+03	1.118776071428571413e+03	1.151543571428571340e+03	1.221759642857142808e+03	1.401980892857142862e+03	1.444110535714285561e+03	1.198354285714285652e+03	8.589766071428571195e+02	1.088349107142857065e+03	1.200694821428571458e+03	1.254527142857142735e+03	1.593904821428571495e+03	1.579861607142857110e+03	1.341126964285714166e+03	1.336445892857142780e+03
4.875150605832234305e+02	0.000000000000000000e+00	1.638374999999996362e+01	-3.276750000000004093e+01	-3.744857142857142662e+01	-5.383232142857139024e+01	-1.872428571428565647e+01	-8.894035714285712402e+01	0.000000000000000000e+00	-9.362142857142885077e+00	-2.808642857142854155e+01	-4.447017857142861885e+01	-5.851339285714288962e+01	4.915125000000000455e+01	-4.212964285714281232e+01	9.362142857142885077e+00	-7.021607142857192230e+00	-2.106482142857146300e+01	-2.340535714285715585e+01	-9.596196428571431625e+01	-5.851339285714288962e+01	1.170267857142857792e+01	-5.851339285714288962e+01	3.276750000000004093e+01	-1.638374999999996362e+01	2.574589285714284870e+01	1.638374999999996362e+01	1.240483928571428578e+02	1.123457142857142799e+02	1.989455357142857110e+02	3.885289285714285370e+02	4.095937499999998863e+02	4.985341071428571240e+02	7.255660714285714903e+02	7.747173214285713811e+02	7.676957142857141889e+02	8.004632142857143435e+02	9.830249999999999773e+02	1.104732857142857029e+03	1.123457142857142571e+03	1.107073392857142608e+03	1.453472678571428332e+03	1.430067321428571177e+03	1.135159821428571377e+03	8.636576785714286189e+02	9.783439285714285916e+02	1.107073392857142608e+03	1.261548749999999927e+03	1.371553928571428514e+03	1.476878035714285488e+03	1.357510714285714130e+03	1.306018928571428660e+03
4.878792926539535983e+02	0.000000000000000000e+00	-4.447017857142861885e+01	2.808642857142854155e+01	7.021607142857192230e+00	1.404321428571427077e+01	-1.170267857142857792e+01	-7.021607142857078543e+00	-1.170267857142857792e+01	4.681071428571385695e+00	-2.340535714285715585e+01	-4.915125000000000455e+01	4.681071428571385695e+00	4.681071428571385695e+00	5.851339285714288962e+01	2.106482142857146300e+01	-2.340535714285692848e+00	1.638374999999996362e+01	2.340535714285715585e+01	2.340535714285715585e+01	-4.681071428571385695e+00	-3.042696428571423439e+01	-9.362142857142885077e+00	-4.915125000000000455e+01	2.106482142857146300e+01	2.106482142857146300e+01	5.149178571428569740e+01	5.851339285714288962e+01	1.217078571428571649e+02	1.942644642857143253e+02	3.300155357142856474e+02	4.189558928571428851e+02	5.383232142857142435e+02	6.787553571428571786e+02	7.513119642857142253e+02	7.325876785714284551e+02	8.098253571428571149e+02	9.666412500000000136e+02	1.135159821428571377e+03	1.167927321428571304e+03	1.111754464285714221e+03	1.432407857142857210e+03	1.416024107142857247e+03	1.247505535714285543e+03	8.379117857142856565e+02	1.067284285714285488e+03	1.172608392857142917e+03	1.320062142857142589e+03	1.502623928571428678e+03	1.547094107142857411e+03	1.310699999999999818e+03	1.406661964285714021e+03
4.882434880641741870e+02	0.000000000000000000e+00	1.287294642857142435e+02	1.076646428571427805e+02	3.276749999999992724e+01	9.362142857142850971e+01	5.149178571428569740e+01	5.617285714285708309e+01	7.255660714285704671e+01	9.362142857142850971e+01	4.447017857142850517e+01	1.170267857142856656e+02	1.404321428571428214e+02	6.319446428571427532e+01	9.596196428571420256e+01	5.851339285714277594e+01	6.553499999999996817e+01	9.362142857142850971e+01	4.447017857142850517e+01	9.596196428571420256e+01	5.149178571428569740e+01	1.240483928571427441e+02	3.978910714285711947e+01	1.076646428571427805e+02	1.334105357142856292e+02	2.574589285714284870e+01	1.451132142857142071e+02	7.957821428571423894e+01	2.715021428571427577e+02	3.487398214285713038e+02	4.798098214285713539e+02	4.868314285714284324e+02	6.179014285714283687e+02	7.513119642857141116e+02	8.753603571428570831e+02	8.613171428571426986e+02	9.174899999999997817e+02	1.050900535714285525e+03	1.287294642857142662e+03	1.284954107142857083e+03	1.287294642857142662e+03	1.448791607142856947e+03	1.500283392857142644e+03	1.256867678571428542e+03	9.713223214285712857e+02	1.186651607142857074e+03	1.231121785714285579e+03	1.404321428571428442e+03	1.598585892857142881e+03	1.572839999999999691e+03	1.416024107142857019e+03	1.418364642857142826e+03
4.886076467999999977e+02	0.000000000000000000e+00	8.191875000000004547e+01	-1.638374999999996362e+01	1.638375000000007731e+01	1.638375000000007731e+01	7.723767857142854609e+01	5.851339285714288962e+01	1.404321428571427077e+01	-1.872428571428565647e+01	5.383232142857139024e+01	-3.510803571428573377e+01	1.872428571428577015e+01	5.851339285714288962e+01	9.362142857142885077e+00	3.276750000000004093e+01	2.106482142857146300e+01	-2.340535714285692848e+00	-1.638374999999996362e+01	1.638375000000007731e+01	1.404321428571427077e+01	3.042696428571434808e+01	-1.872428571428565647e+01	9.362142857142885077e+00	4.212964285714292600e+01	1.638375000000007731e+01	2.106482142857146300e+01	1.123457142857142799e+02	1.474537500000000136e+02	2.527778571428571013e+02	4.236369642857142708e+02	4.704476785714285825e+02	6.179014285714284824e+02	8.402523214285714630e+02	8.308901785714284642e+02	7.957821428571427305e+02	8.753603571428571968e+02	1.039197857142857174e+03	1.217078571428571195e+03	1.186651607142857301e+03	1.233462321428571613e+03	1.483899642857143135e+03	1.490921249999999873e+03	1.247505535714285543e+03	9.128089285714285097e+02	1.039197857142857174e+03	1.378575535714285706e+03	1.235802857142857192e+03	1.607948035714285652e+03	1.572840000000000146e+03	1.416024107142857247e+03	1.467515892857142717e+03
